name,url,url_tco,fuel,drive,power,acceleration,fuel_rate,price,cost_with_kasko,cost_without_kasko
Skoda Rapid 1.4 TSI DSG Ambition,https://quto.ru/Skoda/Rapid/If/hatchback5d/14TSIDSG_125_Ambition/,https://quto.ru/Skoda/Rapid/If/hatchback5d/14TSIDSG_125_Ambition/tco,бензин,передний,125,9,5.3,1007000,309590,309590
Skoda Rapid 1.4 TSI DSG Style,https://quto.ru/Skoda/Rapid/If/hatchback5d/14TSIDSG_125_Style/,https://quto.ru/Skoda/Rapid/If/hatchback5d/14TSIDSG_125_Style/tco,бензин,передний,125,9,5.3,1068000,309590,309590
Skoda Rapid 1.4 TSI DSG Monte Carlo,https://quto.ru/Skoda/Rapid/If/hatchback5d/14TSIDSG_125_MC/,https://quto.ru/Skoda/Rapid/If/hatchback5d/14TSIDSG_125_MC/tco,бензин,передний,125,9,5.3,1106000,309590,309590
Skoda Rapid 1.6 MT Entry,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_Entry/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_Entry/tco,бензин,передний,90,11.4,5.8,646000,305446,305446
Skoda Rapid 1.6 MT Active,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_Active/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_Active/tco,бензин,передний,90,11.4,5.8,741000,305446,305446
Skoda Rapid 1.6 MT Ambition,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_Ambition/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_Ambition/tco,бензин,передний,90,11.4,5.8,859000,305446,305446
Skoda Rapid 1.6 MT Style,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_Style/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_Style/tco,бензин,передний,90,11.4,5.8,930000,305446,305446
Skoda Rapid 1.6 MT Monte Carlo,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_MC/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_90_MC/tco,бензин,передний,90,11.4,5.8,958000,305446,305446
Skoda Rapid 1.6 MT Active,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_110_Active/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_110_Active/tco,бензин,передний,110,10.3,5.8,809000,316986,316986
Skoda Rapid 1.6 MT Ambition,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_110_Ambition/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_110_Ambition/tco,бензин,передний,110,10.3,5.8,922000,316986,316986
Skoda Rapid 1.6 MT Style,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_110_Style/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_110_Style/tco,бензин,передний,110,10.3,5.8,988000,316986,316986
Skoda Rapid 1.6 MT Monte Carlo,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_110_MC/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16MT_110_MC/tco,бензин,передний,110,10.3,5.8,1021000,316986,316986
Skoda Rapid 1.6 AT Active,https://quto.ru/Skoda/Rapid/If/hatchback5d/16AT_110_Active/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16AT_110_Active/tco,бензин,передний,110,11.6,6.,849000,327111,327111
Skoda Rapid 1.6 AT Ambition,https://quto.ru/Skoda/Rapid/If/hatchback5d/16AT_110_Ambition/,https://quto.ru/Skoda/Rapid/If/hatchback5d/16AT_110_Ambition/tco,бензин,передний,110,11.6,6.,962000,327111,327111
